iso2,iso3,name,gross_All emissions,gross_All transport emissions,gross_Domestic aviation,gross_Domestic shipping,gross_International aviation,gross_International shipping,gross_Domestic railway,gross_Domestic road transport,population,percapita_All emissions,percapita_All transport emissions,percapita_Domestic aviation,percapita_Domestic shipping,percapita_International aviation,percapita_International shipping,percapita_Domestic railway,percapita_Domestic road transport
HK,HKG,Hong Kong,60224718.97696989,20011847.57643691,0,934303.4226610227,6891023.150691602,6048558.590391284,0,6137962.412693001,7488865,8.041902074208828,2.6722136901168483,0,0.1247590152394285,0.9201692313443496,0.8076736047974271,0,0.819611838735643
BT,BTN,Bhutan,2440262.0754019083,266959.8815687983,1320.4793361440322,,10359.969645654252,,0,236564.139971,782455,3.1187251348664247,0.3411824086609431,0.0016876105797062225,,0.013240339247182587,,0,0.30233577646126614
PH,PHL,Philippines,299758994.60546863,42686508.18132625,1766090.7854337366,2798258.89651023,3395042.3063990786,4019257.1982412026,6015.033678000001,30701843.961064,115559009,2.593990699638733,0.36939143516994205,0.015283021208962917,0.02421497831043385,0.02937929578817242,0.03478099399624656,5.2051620466907955e-5,0.2656810942456594
SG,SGP,Singapore,147098746.4527615,71247677.05497961,0,6280614.14277603,9133583.948239306,50164861.961439274,0,5668617.002525001,5975688,24.616202595042026,11.922924532703114,0,1.0510277883945798,1.5284573003542532,8.394826162517065,0,0.9486132814372171
MY,MYS,Malaysia,467175241.3012777,98439148.0011417,2085069.9935627505,4090893.625214933,3207507.418264005,13510405.99195502,0,75545270.97214499,33938222,13.76546011459521,2.9005393388357734,0.06143721947374705,0.12053942086933525,0.09451017847263787,0.3980882083909705,0,2.225964311629083
MV,MDV,Maldives,3502931.9530131044,2126476.480779779,90175.1267170381,77903.44368307867,940534.622050406,139354.57391825638,0,814102.6337199999,523787.00000000006,6.68770311789545,4.059811489746364,0.17215991751807144,0.14873115156175823,1.7956433093039839,0.2660519904431694,0,1.554262770400945
KH,KHM,Cambodia,74703170.91979724,7471303.845039113,3091.3210605021704,42480.451678276426,250153.3400913622,169854.57717397285,865093.6898340001,6023377.072265,16767842,4.455145207105199,0.4455733686564505,1.8436010194407666e-4,0.002533447755428303,0.014918636524089516,0.010129781588708484,0.051592428520855584,0.35922196024181285
IN,IND,India,4002270744.7367125,334611296.62705064,13453744.843746588,5530105.721689769,10417590.316680668,13794928.541908626,4799127.769571001,285635833.36465997,1417173173,2.8241225708953723,0.23611179141834535,0.00949336686586191,0.0039022088669538827,0.007350964945679697,0.009734116341411034,0.0033864088461481204,0.20155323203021144
MO,MAC,Macao,2400606.928569784,950454.828991464,0,6640.12580698403,102584.4606424096,19720.35084107032,0,761161.484881,695168,3.4532759398732162,1.3672304090399212,0,0.009551828920468188,0.14756786941057357,0.028367748286846232,0,1.0949317069844988
BD,BGD,Bangladesh,299555167.1300618,17891833.25094872,113383.09466465474,598942.9573799546,1841989.0266870519,2329259.2138800574,1750304.079231,11238375.267381001,171186372,1.7498774209086094,0.10451669161461474,6.623371553470082e-4,0.0034987770952932787,0.010760138235110513,0.013606569183439774,0.010224552683615492,0.06564994126624168
PK,PAK,Pakistan,538418058.4534972,56339434.62446827,318709.58161768486,264737.7306571571,2052012.609140594,2362947.0906788283,930807.258941,50410096.988905005,235824862,2.283126782677804,0.2389037107735836,0.0013514672664906929,0.0011226031403642127,0.008701426099596716,0.010019923559538978,0.003947027684218469,0.21376073990411157
BN,BRN,Brunei,15331141.064981503,1875474.8065595818,0,95148.10953472032,93731.927862957207,391437.4445109043,0,1295157.3246509999,449002,34.144928229677156,4.176985417792308,0,0.21191021317214695,0.20875614777430213,0.871794434124802,0,2.884524622721057
KP,PRK,North Korea,83399448.29443315,6320229.861260531,0,122303.7894250701,0,41016.88489105797,0,2291660.4104204024,26069416,3.199129903578705,0.24243849042343452,0,0.0046914664074204845,0,0.001573371835067497,0,0.08790608928180065
AU,AUS,Australia,748560013.4477777,137666399.91364723,7260572.592646696,4738366.862221316,8354443.410698449,23867810.50258778,4216137.419881,87595320.716239,26177413,28.595645163552934,5.258976504425675,0.2773602033419687,0.18100974539467732,0.31914702230882974,0.9117711709169956,0.1610601253791198,3.3462176234236365
CN,CHN,China,15563899433.099447,940053107.652574,74155951.75413218,35648759.280452505,11638893.534666399,57158166.8510898,8835126.800041,745990158.70195,1425887337,10.915237851712156,0.6592758651117567,0.05200688008784258,0.02500110517529093,0.008162561818631536,0.04008603300408565,0.006196230635324732,0.5231760878608251
LK,LKA,Sri Lanka,41262107.15138019,12643096.264849622,1412.2689613534894,417460.4078136821,1064496.8628539208,4086775.8238096647,74234.703536,6998716.197875,21832143,1.8899705425793605,0.5791046836240319,6.468760127457435e-5,0.019121366501386607,0.048758239759327374,0.1871907775526051,0.003400248135787678,0.3205693640736505
TL,TLS,Timor-Leste,4395637.501147776,260265.61507217685,0,13115.207003850186,10072.841469465053,34048.584219861616,0,188075.016434,1341296,3.277156944587754,0.1940404020232498,0,0.009778010971366638,0.007509782679934222,0.025384839901007396,0,0.14021887520278895
KR,KOR,South Korea,767633042.8274666,149427725.93937218,1526251.557283138,6617607.933930107,9771067.764061239,27033901.995621722,295790.620936,104183106.06753999,51815810,14.81464909701241,2.883824954958191,0.029455325648352074,0.12771406900577464,0.18857309697679606,0.5217307612410521,0.005708501342273719,2.0106432007439428
JP,JPN,Japan,1243928890.1593382,257608653.45974526,11251256.892035453,16829569.88847244,10220942.143208094,21170166.98523277,560170.000964,197576547.5498325,123951692,10.03559427134999,2.0782988057939966,0.09077130542143348,0.13577523321321375,0.08245907722831322,0.17079369102305414,0.004519260624243839,1.593980238283738
MM,MMR,Myanmar (Burma),168605938.9223776,6774723.2288068775,97219.15195213596,111724.43032615296,116336.44436686732,384337.66044132254,1226177.919147,4838927.622573399,54179306,3.1119988676558092,0.1250426358138821,0.0017943964057445837,0.002062123688445787,0.0021472486998424696,0.007093809220098215,0.022631849864355957,0.08931320793539509
VN,VNM,Vietnam,542947898.923782,48501060.45028095,4199235.842900894,2927448.5155599387,2953556.3066696073,6072168.69547251,105301.408616,32243349.681062,98186856,5.529741159282888,0.49396693637161526,0.04276780023286308,0.029815075406426486,0.030080974450079217,0.06184298940657097,0.0010724593179355902,0.3283876375577399
CC,CCK,Cocos (Keeling) Islands,2473.6972612833697,2473.6972612833697,0,,2473.6972612833697,,0,,,,,,,,,,
CX,CXR,Christmas Island,3554.262394966173,3554.262394966173,0,,3554.262394966173,,0,,,,,,,,,,
LA,LAO,Laos,39576808.29351479,2732177.747902143,23460.01196724205,,77832.33841390068,,0,2630885.397521,7529475,5.256250707189384,0.36286430965002775,0.0031157566719116608,,0.01033702063077448,,0,0.3494115323473416
NP,NPL,Nepal,46140472.12717711,6389819.066017004,154937.69198694153,,526048.4432990632,,0,5708832.930730999,30547580,1.5104460689579047,0.20917594997760883,0.005072011988738274,,0.01722062576803345,,0,0.18688331222083712
NZ,NZL,New Zealand,87802128.24160886,18869307.805369075,796115.1389837007,876693.2787911817,1726890.477221221,2412444.7022549715,113342.785844,12943821.422274001,5185288,16.93293183360478,3.6390086346928223,0.15353344674079833,0.1690732084295379,0.3330365598248778,0.4652479673751914,0.021858532417871484,2.4962589199045455
TH,THA,Thailand,588288899.0542537,93789780.3516787,2179754.2855109833,1788702.1465998238,6136699.851164011,4702411.770501884,270288.27684699994,78711924.021055,71697030,8.205205976513305,1.3081403839416876,0.030402295402068725,0.024948064746891523,0.08559210683014361,0.0655872603161091,0.0037698671318323776,1.0978407895146423
NF,NFK,Norfolk Island,9562.157850884052,9562.157850884052,0,616.379374845162,7247.188931298213,1698.589544740677,0,,,,,,,,,,
ID,IDN,Indonesia,1597689599.5123656,162269096.6726153,8035101.187576927,12727557.12110934,2940754.589929621,8133200.881364397,0,130432482.892635,275501339,5.799208110245757,0.5889956733481259,0.02916537980084709,0.04619780494464072,0.010674193456205384,0.029521456813552536,0,0.47343683833288014
MN,MNG,Mongolia,87186365.2189821,3164382.879134352,5948.9430827245515,,109251.96222354683,580.9716320800782,868760.1815440002,2124301.8085200004,3398366,25.655378266785302,0.9311483457444996,0.0017505304263062164,,0.0321483801990565,1.709561689588697e-4,0.25564055829890014,0.6250950628978752
,,Indo-Pacific region,27524212057.491074,2500403832.1851234,127518802.54515947,103539953.86867242,93996675.21522805,248049316.43360305,24916677.948611,1888926473.0615232,4229664792,6.507421606920351,0.5911588636797872,0.03014867816152923,0.024479470350583853,0.022223197307033322,0.05864514769651823,0.005890934429541196,0.4465901119715785
